report_id,key,value,metric,graph,aggregation
000360339,sourcehours-donut-sourcetype,Time Driven by Vehicle Type,sourcehours,donut,sourcetype
000360339,starts-donut-sourcetype,Vehicle Starts by Vehicle Type,starts,donut,sourcetype
000360339,vmt-line-sourcebus,Vehicle Miles Traveled over Time for Buses,vmt,line,sourcebus
000360339,idlehours-line-overall,Idling Overall over Time,idlehours,line,overall
000360339,sourcehours-map-lower,Time Driven Mapped by Area,sourcehours,map,lower
000360339,idlehours-map-lower,Idling Mapped by Area,idlehours,map,lower
000360339,starts-multiline-fueltype,Vehicle Starts by Fuel Type over Time,starts,multiline,fueltype
000360339,ratevmt-multiline-sourcetype,Emissions Rate (per mile) by Vehicle Type over Time,ratevmt,multiline,sourcetype
000360339,vmt-rank,Areas Ranked by Vehicle Miles Traveled,vmt,rank,profile
000360339,idlehours-rank,Areas Ranked by Idling,idlehours,rank,profile
002148714,hoteld-donut-roadtype,Hotelling (Diesel Aux) by Road Type,hoteld,donut,roadtype
002148714,emissions-donut-fueltype,Emissions by Fuel Type,emissions,donut,fueltype
002148714,vmt-line-overall,Vehicle Miles Traveled Overall over Time,vmt,line,overall
002148714,hoteld-line-overall,Hotelling (Diesel Aux) Overall over Time,hoteld,line,overall
002148714,hoteld-map-lower,Hotelling (Diesel Aux) Mapped by Area,hoteld,map,lower
002148714,ratepop-map-upper,Emissions Rate (per capita) in My Region,ratepop,map,upper
002148714,emissions-multiline-fueltype,Emissions by Fuel Type over Time,emissions,multiline,fueltype
002148714,emissions-multiline-overall,Emissions by Area over Time,emissions,multiline,overall
002148714,idlehours-rank,Areas Ranked by Idling,idlehours,rank,profile
002148714,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
002307090,sourcehours-donut-roadtype,Time Driven by Road Type,sourcehours,donut,roadtype
002307090,ratepop-donut-sourcetype,Emissions Rate (per capita) by Vehicle Type,ratepop,donut,sourcetype
002307090,ratepop-line-sourcebus,Emissions Rate (per capita) over Time for Buses,ratepop,line,sourcebus
002307090,vmt-line-overall,Vehicle Miles Traveled Overall over Time,vmt,line,overall
002307090,ratevmt-map-upper,Emissions Rate (per mile) in My Region,ratevmt,map,upper
002307090,pop-map-lower,Population Mapped by Area,pop,map,lower
002307090,hotelo-multiline-roadtype,Hotelling (Engines Off) by Road Type over Time,hotelo,multiline,roadtype
002307090,vmt-multiline-sourcetype,Vehicle Miles Traveled by Vehicle Type over Time,vmt,multiline,sourcetype
002307090,ratevmt-rank,Areas Ranked by Emissions Rate (per mile),ratevmt,rank,profile
002307090,hotelo-rank,Areas Ranked by Hotelling (Engines Off),hotelo,rank,profile
002511588,sourcehours-donut-overall,Time Driven Overall by Area,sourcehours,donut,overall
002511588,emissions-donut-sourcetype,Emissions by Vehicle Type,emissions,donut,sourcetype
002511588,sourcehours-line-overall,Time Driven Overall over Time,sourcehours,line,overall
002511588,pop-line-sourcebus,Population over Time for Buses,pop,line,sourcebus
002511588,emissions-map-lower,Emissions Mapped by Area,emissions,map,lower
002511588,vmt-map-lower,Vehicle Miles Traveled Mapped by Area,vmt,map,lower
002511588,sourcehours-multiline-regclass,Time Driven by Regulatory Class over Time,sourcehours,multiline,regclass
002511588,hotelo-multiline-fueltype,Hotelling (Engines Off) by Fuel Type over Time,hotelo,multiline,fueltype
002511588,vehicles-rank,Areas Ranked by Vehicles,vehicles,rank,profile
002511588,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
002742305,ratevmt-donut-sourcetype,Emissions Rate (per mile) by Vehicle Type,ratevmt,donut,sourcetype
002742305,hoteld-donut-overall,Hotelling (Diesel Aux) Overall by Area,hoteld,donut,overall
002742305,emissions-line-sourcecar,Emissions over Time for Passenger Vehicles,emissions,line,sourcecar
002742305,pop-line-sourcebus,Population over Time for Buses,pop,line,sourcebus
002742305,ratevmt-map-lower,Emissions Rate (per mile) Mapped by Area,ratevmt,map,lower
002742305,vmt-map-upper,Vehicle Miles Traveled in My Region,vmt,map,upper
002742305,emissions-multiline-regclass,Emissions by Regulatory Class over Time,emissions,multiline,regclass
002742305,ratepop-multiline-roadtype,Emissions Rate (per capita) by Road Type over Time,ratepop,multiline,roadtype
002742305,starts-rank,Areas Ranked by Vehicle Starts,starts,rank,profile
002742305,vehicles-rank,Areas Ranked by Vehicles,vehicles,rank,profile
002856560,vehicles-donut-fueltype,Vehicles by Fuel Type,vehicles,donut,fueltype
002856560,idlehours-donut-overall,Idling Overall by Area,idlehours,donut,overall
