key,value,metric,graph,aggregation
emissions-donut-overall,Emissions Overall by Area,emissions,donut,overall
emissions-donut-sourcetype,Emissions by Vehicle Type,emissions,donut,sourcetype
emissions-donut-fueltype,Emissions by Fuel Type,emissions,donut,fueltype
emissions-donut-roadtype,Emissions by Road Type,emissions,donut,roadtype
emissions-donut-regclass,Emissions by Regulatory Class,emissions,donut,regclass
emissions-line-sourcebus,Emissions over Time for Buses,emissions,line,sourcebus
emissions-line-sourcecar,Emissions over Time for Passenger Vehicles,emissions,line,sourcecar
emissions-line-overall,Emissions Overall over Time,emissions,line,overall
emissions-multiline-overall,Emissions by Area over Time,emissions,multiline,overall
emissions-multiline-sourcetype,Emissions by Vehicle Type over Time,emissions,multiline,sourcetype
emissions-multiline-regclass,Emissions by Regulatory Class over Time,emissions,multiline,regclass
emissions-multiline-fueltype,Emissions by Fuel Type over Time,emissions,multiline,fueltype
emissions-multiline-roadtype,Emissions by Road Type over Time,emissions,multiline,roadtype
emissions-map-lower,Emissions Mapped by Area,emissions,map,lower
emissions-map-upper,Emissions in My Region,emissions,map,upper
emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
vmt-donut-overall,Vehicle Miles Traveled Overall by Area,vmt,donut,overall
vmt-donut-sourcetype,Vehicle Miles Traveled by Vehicle Type,vmt,donut,sourcetype
vmt-donut-fueltype,Vehicle Miles Traveled by Fuel Type,vmt,donut,fueltype
vmt-donut-roadtype,Vehicle Miles Traveled by Road Type,vmt,donut,roadtype
vmt-donut-regclass,Vehicle Miles Traveled by Regulatory Class,vmt,donut,regclass
vmt-line-sourcebus,Vehicle Miles Traveled over Time for Buses,vmt,line,sourcebus
vmt-line-sourcecar,Vehicle Miles Traveled over Time for Passenger Vehicles,vmt,line,sourcecar
vmt-line-overall,Vehicle Miles Traveled Overall over Time,vmt,line,overall
vmt-multiline-overall,Vehicle Miles Traveled by Area over Time,vmt,multiline,overall
vmt-multiline-sourcetype,Vehicle Miles Traveled by Vehicle Type over Time,vmt,multiline,sourcetype
vmt-multiline-regclass,Vehicle Miles Traveled by Regulatory Class over Time,vmt,multiline,regclass
vmt-multiline-fueltype,Vehicle Miles Traveled by Fuel Type over Time,vmt,multiline,fueltype
vmt-multiline-roadtype,Vehicle Miles Traveled by Road Type over Time,vmt,multiline,roadtype
vmt-map-lower,Vehicle Miles Traveled Mapped by Area,vmt,map,lower
vmt-map-upper,Vehicle Miles Traveled in My Region,vmt,map,upper
vmt-rank,Areas Ranked by Vehicle Miles Traveled,vmt,rank,profile
vehicles-donut-overall,Vehicles Overall by Area,vehicles,donut,overall
vehicles-donut-sourcetype,Vehicles by Vehicle Type,vehicles,donut,sourcetype
vehicles-donut-fueltype,Vehicles by Fuel Type,vehicles,donut,fueltype
vehicles-donut-roadtype,Vehicles by Road Type,vehicles,donut,roadtype
vehicles-donut-regclass,Vehicles by Regulatory Class,vehicles,donut,regclass
vehicles-line-sourcebus,Vehicles over Time for Buses,vehicles,line,sourcebus
vehicles-line-sourcecar,Vehicles over Time for Passenger Vehicles,vehicles,line,sourcecar
vehicles-line-overall,Vehicles Overall over Time,vehicles,line,overall
vehicles-multiline-overall,Vehicles by Area over Time,vehicles,multiline,overall
vehicles-multiline-sourcetype,Vehicles by Vehicle Type over Time,vehicles,multiline,sourcetype
vehicles-multiline-regclass,Vehicles by Regulatory Class over Time,vehicles,multiline,regclass
vehicles-multiline-fueltype,Vehicles by Fuel Type over Time,vehicles,multiline,fueltype
vehicles-multiline-roadtype,Vehicles by Road Type over Time,vehicles,multiline,roadtype
vehicles-map-lower,Vehicles Mapped by Area,vehicles,map,lower
vehicles-map-upper,Vehicles in My Region,vehicles,map,upper
vehicles-rank,Areas Ranked by Vehicles,vehicles,rank,profile
starts-donut-overall,Vehicle Starts Overall by Area,starts,donut,overall
starts-donut-sourcetype,Vehicle Starts by Vehicle Type,starts,donut,sourcetype
